2024-06-23 17:26:55 status half-installed libfribidi0:amd64 1.0.13-3+b1
2024-06-23 17:26:55 status unpacked libfribidi0:amd64 1.0.13-3+b1
2024-06-23 17:26:55 install libgtk2.0-common:all <none> 2.24.33-4
2024-06-23 17:26:55 status half-installed libgtk2.0-common:all 2.24.33-4
2024-06-23 17:26:55 status unpacked libgtk2.0-common:all 2.24.33-4
2024-06-23 17:26:55 install libthai-data:all <none> 0.1.29-2
2024-06-23 17:26:55 status half-installed libthai-data:all 0.1.29-2
2024-06-23 17:26:55 status unpacked libthai-data:all 0.1.29-2
2024-06-23 17:26:55 install libthai0:amd64 <none> 0.1.29-2
2024-06-23 17:26:55 status half-installed libthai0:amd64 0.1.29-2
2024-06-23 17:26:56 status unpacked libthai0:amd64 0.1.29-2
2024-06-23 17:26:56 install libpango-1.0-0:amd64 <none> 1.54.0+ds-1
2024-06-23 17:26:56 status half-installed libpango-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:26:56 status unpacked libpango-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:26:56 install libpangoft2-1.0-0:amd64 <none> 1.54.0+ds-1
2024-06-23 17:26:56 status half-installed libpangoft2-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:26:56 status unpacked libpangoft2-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:26:56 install libpangocairo-1.0-0:amd64 <none> 1.54.0+ds-1
2024-06-23 17:26:56 status half-installed libpangocairo-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:26:56 status unpacked libpangocairo-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:26:56 install libxcursor1:amd64 <none> 1:1.2.2-1
2024-06-23 17:26:56 status half-installed libxcursor1:amd64 1:1.2.2-1
2024-06-23 17:26:56 status unpacked libxcursor1:amd64 1:1.2.2-1
2024-06-23 17:26:56 install libxdamage1:amd64 <none> 1:1.1.6-1+b1
2024-06-23 17:26:56 status half-installed libxdamage1:amd64 1:1.1.6-1+b1
2024-06-23 17:26:56 status unpacked libxdamage1:amd64 1:1.1.6-1+b1
2024-06-23 17:26:56 install libgtk2.0-0t64:amd64 <none> 2.24.33-4
2024-06-23 17:26:56 status half-installed libgtk2.0-0t64:amd64 2.24.33-4
2024-06-23 17:26:56 status unpacked libgtk2.0-0t64:amd64 2.24.33-4
2024-06-23 17:26:56 install libgail18t64:amd64 <none> 2.24.33-4
2024-06-23 17:26:56 status half-installed libgail18t64:amd64 2.24.33-4
2024-06-23 17:26:56 status unpacked libgail18t64:amd64 2.24.33-4
2024-06-23 17:26:56 install libgail-common:amd64 <none> 2.24.33-4
2024-06-23 17:26:56 status half-installed libgail-common:amd64 2.24.33-4
2024-06-23 17:26:56 status unpacked libgail-common:amd64 2.24.33-4
2024-06-23 17:26:56 install libgdk-pixbuf2.0-bin:amd64 <none> 2.42.12+dfsg-1
2024-06-23 17:26:56 status half-installed libgdk-pixbuf2.0-bin:amd64 2.42.12+dfsg-1
2024-06-23 17:26:56 status unpacked libgdk-pixbuf2.0-bin:amd64 2.42.12+dfsg-1
2024-06-23 17:26:56 install libgtk2.0-bin:amd64 <none> 2.24.33-4
2024-06-23 17:26:56 status half-installed libgtk2.0-bin:amd64 2.24.33-4
2024-06-23 17:26:56 status unpacked libgtk2.0-bin:amd64 2.24.33-4
2024-06-23 17:26:56 install librsvg2-2:amd64 <none> 2.58.0+dfsg-1
2024-06-23 17:26:56 status half-installed librsvg2-2:amd64 2.58.0+dfsg-1
2024-06-23 17:26:56 status unpacked librsvg2-2:amd64 2.58.0+dfsg-1
2024-06-23 17:26:57 install librsvg2-common:amd64 <none> 2.58.0+dfsg-1
2024-06-23 17:26:57 status half-installed librsvg2-common:amd64 2.58.0+dfsg-1
2024-06-23 17:26:57 status unpacked librsvg2-common:amd64 2.58.0+dfsg-1
2024-06-23 17:26:57 install openjdk-17-jre-headless:amd64 <none> 17.0.11+9-1
